date,typhoid_cases
2010-01,18
2010-02,19
2010-03,6
2010-04,28
2010-05,34
2010-06,46
2010-07,31
2010-08,71
2010-09,12
2010-10,26
2010-11,17
2010-12,14
2011-01,14
2011-02,15
2011-03,10
2011-04,30
2011-05,30
2011-06,43
2011-07,21
2011-08,84
2011-09,8
2011-10,28
2011-11,17
2011-12,20
2012-01,12
2012-02,36
2012-03,17
2012-04,34
2012-05,36
2012-06,28
2012-07,50
2012-08,51
2012-09,15
2012-10,16
2012-11,24
2012-12,14
2013-01,7
2013-02,35
2013-03,16
2013-04,35
2013-05,39
2013-06,16
2013-07,46
2013-08,50
2013-09,24
2013-10,15
2013-11,27
2013-12,13
2014-01,10
2014-02,47
2014-03,16
2014-04,36
2014-05,25
2014-06,12
2014-07,43
2014-08,49
2014-09,31
2014-10,13
2014-11,22
2014-12,12
2015-01,22
2015-02,36
2015-03,24
2015-04,24
2015-05,28
2015-06,31
2015-07,35
2015-08,47
2015-09,23
2015-10,19
2015-11,16
2015-12,13
2016-01,21
2016-02,39
2016-03,42
2016-04,27
2016-05,22
2016-06,34
2016-07,26
2016-08,35
2016-09,23
2016-10,18
2016-11,15
2016-12,12
2017-01,20
2017-02,32
2017-03,40
2017-04,26
2017-05,27
2017-06,26
2017-07,30
2017-08,39
2017-09,28
2017-10,18
2017-11,15
2017-12,11
2018-01,19
2018-02,35
2018-03,42
2018-04,25
2018-05,23
2018-06,26
2018-07,31
2018-08,46
2018-09,22
2018-10,15
2018-11,14
2018-12,10
2019-01,18
2019-02,20
2019-03,31
2019-04,24
2019-05,29
2019-06,33
2019-07,24
2019-08,38
2019-09,26
2019-10,17
2019-11,13
2019-12,10
2020-01,17
2020-02,31
2020-03,34
2020-04,23
2020-05,25
2020-06,21
2020-07,27
2020-08,32
2020-09,20
2020-10,16
2020-11,13
2020-12,9
2021-01,15
2021-02,24
2021-03,20
2021-04,27
2021-05,23
2021-06,28
2021-07,22
2021-08,32
2021-09,25
2021-10,17
2021-11,24
2021-12,14
2022-01,26
2022-02,23
2022-03,21
2022-04,24
2022-05,26
2022-06,20
2022-07,22
2022-08,28
2022-09,21
2022-10,17
2022-11,25
2022-12,13
